Direction de la Pharmacie (1)
nom;forme;type;dosage
Beclo-asma;Sol. pr Inhalation;Fl de  200 doses;50 mcg
Beclo-Rino Nasal;Gtte  nasale;Fl 10 ml;11  mg
Bensathine penicilline;Susp. inj.;Boite de 50 vials;2.4 ui
Benver Susp;Susp. orale;Fl de 30 ml;100 mg
Benzole;Suspension Buvable;Fl 10 ml;200 m g
Benzoscab;Emulsion de lait Dermique;Fl de 100 ml;250 mg
Besart H;;;
Betades;Co enrobé;Boite de 10;5mg  0.25mg
Betades - D;Sp;Fl 60 ml;15 mg /2.5 mg
Betalast;Goutte Ophtalmique;Fl de 5 ml;15 mg
Betaloc Zoc;;;
Betaloc Zoc 50 mg Bte de 28;Co pelliculé;Boite de 28;50 mg
Betaloc ZoK 50;;;
Betamex;;;
betamex  LT co;Co enrobé;Boite de 10;0.25mg  5mg
Betamex Lt;Sp;Fl. de 60 ml;0.25 mg / 5 mg
Betamex Plus;Cr. derm.;tube de 15 g;0.5 mg,10 mg,1.7 mg,10 mg
Betamex sp;Sp;Fl. de 60 ml;0.25 mg,2 mg/5 ml
Betavit AFR;;;
Betazole;Cr. derm.;Tube de 10 gm;10 mg,0.5 mg
Bevital forte;Sp;Fl de 120 ml;10 mg,5 mg,6 mg,1 mg75 mg,25 mcg,2 mg,2 mg,200 mg,0.5 mg,5 mg,3 mg,2.5 mg,12 mg,5 mg
Bi-préterax 10 mg, 2.5 mg;;;
Biodivon Plus;;;
Biogrip;;;
Biogrip Enfant;Suspension Buvable;Fl 60 ml;160 mg ,2 mg,1 mg
Biomucol;Sp;Fl de 120 ml;50 mg
Bioriv;;;
Biovit;Gtte orale;Fl de 30 ml;50 mg,0.15 mg,3 mcg,0.5 mg,1 mg,1 mg,1500 UI,400 UI,50 mg,16 mg,1.20 mg,5 mg,5 UI
Bipreterax 5mg/ 1.25 mg;;;
Bloc - D;;;
Blokcal 12.5;;;
Blokcal 25;;;
Blokcal 6.25;;;
Blox - D;;;
Blox 16;Co enrobé;Boite de 30;16 mg
Blox-D;;;
Brimogot;Goutte Ophtalmique;Fl de 8ml;2mg/ml
Brimoni T;Collyre;Fl de 5 ml;2 mg, 6 mg
Brinomax;Collyre;Fl de 5 ml;2 %w/v, 0. 13 %w/v, 0.5 %w/v
Bronchohem;Sp;Fl de 120 ml;30mg, 200mg/10ml
Broncochem  Antigripal;Sp;Fl de 120 ml;250 mg,13.33 mg,200 mg,5 mg,4 mg
Broncochem antigripal Boite de 50 x2;;;
Broncochem Compuesto;Sp;Fl 60 ml;287 mg,8 mg,30 mg
Broncochem compuesto Caps;;;
Broncoviral;;;
Brondil;Sol. Orale;Fl 120ml;15 mg
Brondil Compositum;Sp;Fl 120ml;7.5 mg ,0.005 mg
Brudozol;;;
Buscopan Plus;;;
Butafel;Ov. vag.;Bte de 100;100 mg
Buto Asma aérosol;Sol. pr Inhalation;Fl de 10 ml;2.4 mg
Bye - Flu Te Antigripal;Poudre pour Susp orale;Bte de 25 sachets de 1;10 mg,4 mg,500 mg,60 mg
Bye-Flu  Co;;;
C-gol;;;
C-vit;Sp;Fl de 100 ml;100mg
Cadalol 12.5 mg;;;
Cadalol 3.125;;;
Cadalol 3.125 mg;;;
Cadalol 6.25;;;
Cadalol-25;;;
Cafola;Sp;Fl de 100 ml;100 mg, 50 mg, 12.5 mg, 1 mg
Calcium active denk (saveur orange);;;
Calpitone Co;;;
Candersil 16;;;
Candersil 32;;;
Candersil 8;;;
Candesar-16;;;
Candi V Gel;Gel;Tube de 30 g.;2%
Candid  Lotion;Lotion;Tube de 20 ml;1%
Candid B  lotion;Lotion;tube de 15 ml;0,025 %,1%
Candid B Cream;Cr. derm.;Tube 15 g;0.025% ,1 %
Candid cream;Cr. derm.;Tube de 20 g;1%
Candid Dusting Powder;poudre à saupoudrer;Fl de 100 g;1%
candid dusting powder 100;poudre à saupoudrer;Fl de 100;1000 mg
Candid V;Gel vaginal;Tube de 30 g.;2%
Candid V6;Co vag.;Boite de 6;100 mg
Candiderm cream;Cr. derm.;tube de 15 g;0.1% ,1%,0.025%
CANESTEN V 1%;Cr Vag.;Tube de 35 g. + 6 applicateurs;1 g
Capsartan-16;;;
Capsartan-32;;;
Capsartan-8;;;
Captopril + Hydrochlorothiazide denk 50/25;;;
Captopril denk 25;;;
Carbaline   (Bte de 30 );;;
Carbaline 12.5;;;
Carbaline 25 mg;;;
Carbamazépine 200;;;
Carbosylane;GELULE;Boite de 48;140 mg ,45 mg
Cardicol Ara 5/100;;;
Cardicol Eca 5-10;;;
Cardicol Eca 5-20;;;
Cardicol-10;;;
Cardio Aspirina;;;
Carvedi- Denk 6.25;;;
Casodex;Co enrobé;Boite de 28;50 mg
Cataflam dispersible;;;
CD  Zinc;;;
CEF-400;;;
Cefaltrex;Suspension Buvable;Fl de 75 ml;250 mg
Cefotaxime;Susp. inj.;Bte de 50;1 g
Ceftriaxone 1 g;Poude pour Susp. Inj.;Boite de 50 vials;1 g
Ceftriaxone sodium;;;
Celunaf;Goutte Ophtalmique;Fl de 15 ml;0.5 /ml
Celunaf NF;Goutte Ophtalmique;Fl 10 ml;5 mg,1 mg,2 mg
Cetriliv;;;
cevit  650 mg;Sp;Fl de 120 ml;650 mg
Cevit gouttes;Gtte orale;Fl de 30 ml;130 mg/5 ml
Chlorure de sodium;Sol. Inj;Fl de 500;0.9 %
Chlorure de Sodium 0.9 % Dextrose 5 %;Sol. Inj;Fl de 500 ml;900 mg ,5000 mg
Chlorure de Sodium et Dextrose;Sol.inj;Fl de 1000 ml;0.33 g,5.50 mg
chlorure de sodium et glucose;Sol. Inj;Fl de 500 ml;0,9 %w/v ,5% w/v
Cialis  20 (Bte de 2);;;
Cialis 10;;;
Cialis 20;;;
Cilenol - 5;;;
Cilenol-10;;;
Cinovit;;;
Ciploxin-D;Collyre;Fl de 10 ml;0,1 mg, 3,563 mg, 1,06 mg
Ciplume;Goutte Ophtalmique;Fl 10 ml;0.3%
Cipritol;;;
Cipro-DENK 750;;;
Ciprojet;;;
Cipromax 500;;;
Cipromon;;;
Citrov;Sp;Fl de 120 ml;500 mg
citrov co;Co masticable;Bte de 100;200 mg , 338 mg
Clarityne;;;
Clavinex 250/62.5 mg;Poudre pour Susp orale;Fl. de 60 ml;250 mg/62.5 mg
Clavinex Duo;;;
Clavinex duo 400/57;Pdre pr Susp. orale;Fl de 70ml;400 mg/57 mg
Clavoxin -457;Suspension Buvable;Fl de 70ml;400 mg/57 mg
Clavoxin- 1000;;;
Clavoxin- 625;;;
Cleanaderm;Crème dermique;Tube de 5 g;0.6m g,1mg ,10 mg,10 mg
Cletsin;;;
Cletsin  suspension orale;Susp. orale;Fl de 30 ml;209.6 mg
Cletsin 40 mg;Susp. inj.;Fl de 30 ml;40 mg/5 ml
Clinus  ovule;Ov. vag.;Bte de 7 Ov. + 7 applicateurs;100 mg, 400 mg
Cloderma crème;Cr. derm.;Tube de 30 g.;0.0159 g
Clofaid;Sol cutanée;Fl de 30 ml;16 mg
Clomak -plus crème;Cr Vag.;Tube de 90 g;1 g,10 g,2 g
Clomak Crème Derm;Cr. derm.;Tube de 20 g;0.050 mg
Clomak plus Ovule;Ov. vag.;Boite de 6;200 mg,300 mg ,60 mg
Clomil 50;;;
Clop-75;;;
Clopi-Denk 75;Co enrobé;Boite de 30;75  mg
Cloprez;;;
Clotimax;;;
Clotri-Denk 1%;Crème dermique;Tube de 20 g;10 mg
Clotrimazole 1 % Crème;Cr. derm.;Tube de 20 g;1%
Clotrimazole 1%;Cr. derm.;Tube de 20 g;10 mg
Cloxacilline;Gél.;Bte de 1000;500mg
Cloxacilline 125;Pdre pr Susp. orale;Fl de 100 ml;140  mg
Cloxacilline sodium;Sol. Inj;Bte de 45;500 mg
Cloxidel-500;;;
Cloxin 100 mg;;;
Co-Pill;;;
Co-Sulapril;;;
Cobal;Co enrobé;Bte de 20;500 mcg
Combivent UDV Inha;Sol. pr Inhalation;Bte de 20 fl monodose de 2.5ml;0.52 mg ,3 mg
Combiwave  SF;Aerosol;Fl de 120 bouffées;250 mcg,25 mcg
Comioflex;;;
Complejo B Alpha Sp;Sp;Fl de 120 ml;50 mg,50 mg,0.2 mg
Concavit;Sp;Fl de 150 ml;19.350 mg ,34.440 mg,2 mg, 0.013 mg,1 mg,1.370 mg,2 mg,29.410 mg,12.500 mg
Congestis Plus;Sp;Fl de 100 ml;15 mg,5 mg,50 mg2 mg
Conjya -1.25;;;
Conjya-0.625;;;
Converten 10;;;
Converten 5;;;
Coradona 10 mg;;;
Coradona 2.5 mg;;;
Coradona 5 mg;;;
Coralat 81;;;
Cotrimoxazole farmatrix;Susp. orale;Fl de 120 ml;200 mg/40 mg
Coveram 10 mg, 5 mg;;;
Coveram 10 mg/10 mg;;;
Coveram 5 mg, 10 mg;;;
Coveram 5mg, 5 mg;;;
Craveron;;;
Crestor 10 mg;;;
Crestor 20;;;
Crestor 40;;;
Curinflam Vl;Gel;Tube de 50 g;1.16 g
Cyprocat;;;
Cystine B6;Co pelliculé;Boite de 60;50 mg,500 mg
Cytodex;;;
Cytoprostol;;;
D3 active denk;;;
Daflon;Co pelliculé;Bte de 30;500 mg
Daltrex K;Ov. vag.;Bte de 7;100 mg, 400mg
Daprinol;Gtte orale;Fl de 20 ml;5 mg,  0.02 ml
Day After;;;
DC Zinc;;;
Decalcit;;;
Decalcit co;Poudre;Bte de 100 g;75o UI, 600 mg
Decatylen;;;
Denk  Lactonatal + DHA;Caplets;Boite de 60;132 mg,22.36 mg,15.75 mg,10.80 mg,6.88 mg,2.66 mg,1.91 mg,1.68 mg,0.48 mg,0.13 mg, 0.06 mg,0.007 mg
Denk-Air;;;
Denk-Air Junior 4 mg;Co masticable;Boite de 28;5 mg
Denk-Air Junior 5 mg;;;
Denk-Immun Active;Sachet;Bte de 20;300 mg, 10 mg, 50 mg, 50 mg
Dentocaine;Sol. Inj;Boite de 50;54 mg
Depo-Provera;Susp. inj.;Bte de 25;150mg/ml
Deriva Aqueous  Gel;Gel dermique;Tube 15 g;0.1%
Derm Keta Cream;Cr. derm.;Tube 15 g;2%
Dermaflam;Crème dermique;Tube de 20 g;10.20 mg
Dermavin;;;
Dermix 1%;Cr. derm.;Tube 15 g;1000 mg
Dermobacter;Sol cutanée;Fl de 125 ml;0.5 g/0.2 g
Dermolocion;Lotion;Fl de 100 ml;"25 mg ; 1.5 g"
Despeval;Sp;Fl de 100 ml;0.050 mg/100 ml
Despeval 5 mg;;;
Desyrel Sp;Sp;Fl 120ml;2mg,25 mg,150 mg
Dex -Litos Saveur Pomme;Sol. Orale;Fl de 500 ml;150 mg,263 mg,294 mg ,1485 mg
Dex Litos Saveur Ananas;Sol. Orale;Fl de 500 ml;0.150 g,0.263 g,0.294 g,1.485 g
Dex-Litos Saveur  Cerise;Sol. buvable;Fl de 500 ml;150 mg,263 mg,294 mg ,1350 mg
Dex-Litos Saveur Coco;Sol. Orale;Fl de 500 ml;150 mg,263 mg,294 mg ,1350 mg
Dex-Litos Saveur Fraise;Sol. Orale;Fl de 500 ml;0.263 g,1.485 g,0.15 g,0.294 g
Dex-Litos Saveur Raisin;Sol. buvable;Fl de 500;150 mg,263 mg,294 mg
Dexa-B Tres;Sol.inj;Boite de 2 ampoules + 1 seringue;100 mg,100 mg/2 ml      / 4 mg,5 mg,10 mg
Dexatob;Collyre;Gttes Opht.;0.345 kg,0.990 kg
Dexayu;Sol. Inj;Boite de 5 Ampoules de 2 ml;4 mg /ml
Dexocuf;Sp;Fl 120ml;5 mg/50 mg
Dextrose Alfa 10 %;Sol. Inj;Fl 1000 ml;10 g
Diabifen;;;
Diamicron MR(Boite de 30);;;
Diane 35;Dragée;Bte de 21;2 mg, 0.035 mg
Diclo - Denk 75;Sol.inj;Boite de 3;75 mg
Diclo B Tres;;;
Diclo B Tres Inj;Sol.inj;Bte de 2 Amp de 2ml + une seringue;100 mg,100 mg,75 mg,5 mg,10 mg
Diclo Denk 100 Retard;;;
Diclo-Denk 100 Retard;;;
Diclo-Denk 50;;;
Diclo-k Gel;Gel dermique;Tube de 20 g;1g
Diclobru;;;
Diclofénac de sodium ( cian healthcare);;;
Diclofénac sodium;Sol. Inj;Boite de 5;75 mg
Diclopra;;;
Diclotan;Sol. Inj;Boite De 5 Amps De 3 ml;75 mg/3 ml
Diflucan;Gél.;Boite de 1;150 mg
Difnac 50;;;
Digestal;;;
Dimex Plus;Cr. derm.;Tube de 25 g;"1000 mg ; 25 mg ; 620 mg ;  167 mg"
Diovol Plus comp;Co à croquer;Boite de 50;100 mg,300 mg, 25 mg
Diovol plus fruits tropicaux;Susp. orale;Fl de 350 ml;200 mg, 165 mg, 25 mg
Dolfenex Forte;Co enrobé;Bte de 50 sachets de 1;500 mg,250 mg
Dolfenol Fl de 60 ml;;;
Dolnix Suspension;Susp. orale;Vial de 10 ml;70 mg
Dolo neurolam XR;Co enrobé;Bte de 100;100 mg,130 mg,1,3 mg,120 mg
Doloforte- Denk;Co pelliculé;Bte de 20;37.7 mg, 325 mg
Dologan Denk;;;
Doloproxen;;;
Dolospasmogine;;;
Dolpac;;;
Dolpac RB;;;
Dolten 20;Co enrobé;Bte de 10;20 mg
Dolten 30;Amp.;Bte de 25;30 mg
Dopacin;Amp.;Boite de 5;5ml
Doriv-100;;;
Dormessa;;;
Dorzol;Collyre;Fl 10 ml;2%
Dorzol-T;Collyre;Fl de 10 ml;2%, 0.5%
Doxalam 100;;;
Doxalam 50;;;
Doxy-Denk;;;
Doxy-Denk 100;;;
Doxycaps;;;
Dr Cold;;;
Dramanol inj;Sol. Inj;Amp de 1 ml;50 mg
Dramanol sirop;Sp;Fl. de 60 ml;15 mg/5 ml
Dronya;;;
Dualten 12.5;;;
Dualten 25;;;
Dubact;;;
Dubact Sol buvable;Sol. buvable;Fl de 100 ml;200 mg/5 ml ,40 mg
Dubam cream;Crème dermique;Tube de 30 g.;200 mg,20 mg, 10 mg
Dulcolax;;;
Dulcolax 5 mg;;;
Dutacoast;;;
Dyspep;Gtte orale;Fl;40mg/ml
Ecziderm-S Ointement;Pom. derm.;tube de 15 g;0.025 %, 3%
Eleron bte de 30;;;
Elixir-Pheno;Sol. buvable;Fl. de 60 ml;18 mg
Elixir-pheno gall;Sol. buvable;Gallon;18 mg
Embactrim Forte;;;
Embatrim  susp;Susp. orale;Fl de 100 ml;240 mg/ 5 ml
Embatrim 480;;;
Embatrim forte;;;
Emformin 500;Co enrobé;Bte de 100;500  mg
Emformin OD;;;
Ena-Denk 10;;;
Ena-Denk 20;Co masticable;Boite de 30;20 mg
Enemax -P;Solution pour lavement Intestinal;Fl de 66.6 ml;10.722 g  ,  3.950g
Enemax-A;Sol Rectale;Fl de 133 ml;7.886 g ,7.886 g
Engerix B;Susp. inj.;Bte de 1 seringue préremplie unidose 0.5 ml;20 mg /0,50 mg
Ericlav - 625;;;
Eros Spray;Spray;Fl de 14 ml;10 mg
Ery-ES;;;
Erycin 250;Susp. orale;Fl de 100 ml;250 mg
Erycin 500;;;
Eryrhromycin Stearate;;;
Esomed-40;;;
Esomed-40 Bte de 2 vials;Poude pour Susp. Inj.;Boite de 2;40 mg
Eurocor-AM 5/10;Co enrobé;Bte de 35;10 mg,5 mg
Eurocor-D 5/6.25;Co enrobé;Bte de 35;5 mg,6.25 mg
Exia;;;
Farmadine Buccale;Sol. buc.;Fl 240 ml;8,50%
Farmadine dermique;Sol cutanée;Fl 240 ml;10%
Farmafer;Sp;Gallon;25 mg ,0,1 mg
farmagrip;Sp;Fl 120ml;10mg,100mg
Farmagrip gallon;Sp;Gallon;10 mg/100 mg
farmaphen;Sp;Fl 120ml;160 mg
Farmaplex;Sp;Fl 200 ml;1.5 mg,1.37 mg,0.6 mg,5 mcg,7.5 mg,1 mg
Farmaplex gallon;;;
Fentanyl citrate;;;
Feritab;;;
Ferobeta;;;
Ferplex;Sp;Fl de 240 ml;210 mg,0.02 mg,11.5 mg,78.750 mg,1.150 mg,1.15 mg,1.725 mg
Ferro denk 50;Co pelliculé;Boite de 50;50 mg
Ferro Vital denk;Co à croquer;Boite de 30;1.5 mg ,30 mg ,400 mg
Ferrum Hausmann Fol;Co à croquer;Boite de 30;0.350 mg ,Fer 3 , 100 mg
Ferrum Hausmann Gouttes;Gtte orale;Fl de 30 ml;Fer3,50 mg
Ferrum Hausmann Sirop;Sp;Fl 150 ml;Fer 3,10 mg
Ferrum Hausmann Solution Buvable;Amp.;Bte 10* 5 ml;Fer 3, 100 mg
Fertilo Forte denk;Pdre en sachet;Boite de 30;400 mcg, 15 mg, 500 mg, 400 mg, 30 mcg, 15 mg, 2.25 mg
Fertilo Forte Denk Bte de 60;;;
Fertilo Lady Caps Denk;;;
Ferup;Suspension Buvable;Fl de 100 ml;0.5 mg, 1 mcg, 10 mg, 220 mg, 0.25 mg
Fevigesic;;;
Fina-5;;;
Finefer;Sp;Fl de 100 ml;0.25 mg, 220 mg ,1 mcg 0.5 mg
Fixacort 12.5;Supp.;Boite de 5;16.875 mg
Fixin 100;GELULE;Boite de 10;100 mg
Fixin-100;Gél.;Bte de 10;100 mg
Fixin-200;Gél.;Bte de 10;200 mg
Flagyl susp;Suspension Buvable;Fl 120ml;250 mg
Flamilium;;;
Flaminopril 10;;;
Flaminopril 20;;;
Flaminopril 5;;;
Flamipio;;;
Flamodip 10;;;
Flamodip 10 mg, bte 100;;;
Flamodip 5;;;
Flamogrel;;;
Flamoxen capsule;;;
Flamoxen susp;Suspension Buvable;Fl 120ml;100 mg/125 mg
Flexigel;Crème dermique;Pot de 50 g;1 g,8g
Flomax CR  0.4 mg;;;
Flomet;;;
Flomet 500 mg;;;
Flomrex;Collyre;Fl de 5 ml;0.1%
Flomrex-N;Collyre;Fl de 5 ml;1 mg,3.5 mg
Flucona-Denk 100;;;
Flucona-Denk 150;Gél.;Boite de 1;150  mg
Fluconazole 200mg;Gél.;Bte de 100;200mg
Fluditec 5% Adultes  expectorant;Sp;Fl de 125 ml;5 g
Fluidibron Elixir adulte;Sol. Orale;Fl 120ml;10 mg
Fluidibron pédiatrique;Sp;Fl 120ml;4 mg/ 5 ml
Fluiseptrim;Susp. orale;Fl 120ml;200mg, 40 mg, 5 mg
Flumetol NF OFTENO;Collyre;Fl de 5 ml;1 mg
Fluorouracil;Sol. Inj;Vial de 10 ml;50 mg
Flutarin 40 mg;;;
fluvovag-150;;;
Fongobacter;Sol. buc.;Fl 120ml;0.12%, 0.12%, 0.06%
Fongyl;Lotion;Fl de 30 ml;10 mg
FONGYL SHAMPOO;Shamp.;Fl de 240 ml;1%
FONGYL SOLUTION;Sol cutanée;Fl de 30 ml;10mg
FORTIPLEX;Sp;Fl 120ml;2 mcg,300 mg,0.67 mg,0.6 mg,0.5 mg
Forxiga;;;
Forxiga Bte de 30;Co enrobé;Boite de 30;10 mg
Fugeran;;;
Fungigen  Cream;Crème dermique;tube de 15 g;2 mg
Fungium;Cr. derm.;Tube 15 g;2 g
Furex;;;
Furo -denk;;;
Furo Denk 40;;;
Furolax;;;
Furomida;;;
Fusibact;Cr. derm.;Tube de 20 g;2%
Fusigen;Pom. derm.;Tube de 20 g;20mg
Gastridine;;;
Gastrogel;Sp;Fl de 360 ml;200 mg,200mg,25 mg
Geloxin;Suspension Buvable;Fl de 360 ml;0.2g, 0.2g, 0.025g
Gen-Forte;Cr. derm.;Tube de 25 g;170 mg
Genalben;Sp;Fl de 10 ml;200 mg/5 ml
Genglobet;Cr. derm.;Tube 30 g;0.105mg ,    0.018mg ,    0.003mg
Genodom;Suspension Buvable;Fl;1mg/ml
Genofen;Suspension Buvable;Fl de 100 ml;100 mg/100 ml
Gentayu -80;Amp.;Bte de 5* 2 ml;80mg/2ml
Gidacid  0.05;Cr Vag.;Tube de 40 g;0.05 g
Gidacid Ovule;Ov. vag.;Bte de 7;50 mg
Glemont CT4;;;
Glibetics;;;
Glidara-850;;;
Globugen;Sp;Fl 200 ml;110 mg,75mg,0,5 mg15 mg
Gloviton;Sp;Fl de 240 ml;1500 UI, 300 UI, 5 mg, 3 mg, 1.5 mg, 0.125 mg, 300 mg, 400 mg
Glubetic;Co enrobé;Boite de 30;850 mg
Glubetic -G 1000 / 5 mg;;;
Glubetic -G 850 / 5 mg;;;
Glucose;Sol. Inj;Fl de 500 ml;50g/l
Glucose 100 g;Sol. Inj;Fl de 500 ml;100 g/l
Glucose Infusion Intraveineuse;Sol.inj;Fl de 100 ml;10 g
Godek;Collyre;Fl de 5 ml;5 mg
Granicip;Sol. Inj;Boite de 5;3.35 mg
Gravol comp;;;
Gravol susp;Susp. orale;Fl de 75 ml;15 mg/ 5 ml
Gripefin Antigripal;Sp;Fl de 120 ml;200 mg,13.33 mg,5 mg, 4 mg,250 mg/10 ml
Gripefin Expectorante;Sp;Fl de 120 ml;10 mg,200 mg
Gripefin Expectorante Sp;;;
Griseofulvine;;;
